iter	MultiClass
0	1.915129333
1	1.886201135
2	1.858574794
3	1.831786947
4	1.806279963
5	1.781648319
6	1.758370774
7	1.735796422
8	1.714595023
9	1.693592178
10	1.673663781
11	1.654306637
12	1.635430109
13	1.616846539
14	1.599841684
15	1.582834038
16	1.566619596
17	1.550374718
18	1.534891218
19	1.5196214
20	1.50529165
21	1.491089352
22	1.477182727
23	1.464141252
24	1.451146315
25	1.438504434
26	1.426202605
27	1.414199019
28	1.402223304
29	1.390805036
30	1.379741514
31	1.368990334
32	1.358341543
33	1.347914132
34	1.337674221
35	1.327490418
36	1.317731445
37	1.308066401
38	1.298600734
39	1.289469866
40	1.280559178
41	1.271775609
42	1.263250416
43	1.254972347
44	1.246948788
45	1.239014433
46	1.231282362
47	1.223613376
48	1.216214542
49	1.208637345
50	1.201442755
51	1.194388863
52	1.187568617
53	1.180774322
54	1.174215131
55	1.167641422
56	1.161148315
57	1.154756075
58	1.148420503
59	1.142212762
60	1.136107647
61	1.130219289
62	1.124509744
63	1.118833832
64	1.113241521
65	1.107731038
66	1.102294693
67	1.096838415
68	1.091479187
69	1.086262241
70	1.081149912
71	1.076018527
72	1.071120236
73	1.066255434
74	1.06142613
75	1.056632318
76	1.052168027
77	1.047631069
78	1.043265052
79	1.038851155
80	1.034515324
81	1.030267679
82	1.026059287
83	1.021923427
84	1.017941193
85	1.013923616
86	1.009904173
87	1.006071562
88	1.002217386
89	0.9983596318
90	0.9946850772
91	0.9909877733
92	0.9873992622
93	0.983842915
94	0.9803976577
95	0.9769727745
96	0.9735448232
97	0.9702481609
98	0.9669587466
99	0.96364808
100	0.9603930408
101	0.9571222196
102	0.9540211179
103	0.9509335351
104	0.9479512921
105	0.9450472998
106	0.9421309909
107	0.9391787196
108	0.9362934472
109	0.9334606076
110	0.9307239658
111	0.9278935747
112	0.9252120685
113	0.9225610103
114	0.9198592954
115	0.9171441966
116	0.9145519318
117	0.9119433656
118	0.9094410095
119	0.9069552366
120	0.9045480458
121	0.9022560918
122	0.8998155908
123	0.8974501377
124	0.8950655552
125	0.8928053615
126	0.8905338265
127	0.8883103556
128	0.886148322
129	0.8838798224
130	0.8817431776
131	0.8795326591
132	0.8774662194
133	0.8755813736
134	0.8735684286
135	0.8715841207
136	0.8696238162
137	0.8676806889
138	0.8657048898
139	0.863726989
140	0.8617205447
141	0.8597887563
142	0.8579716404
143	0.8559456588
144	0.8541175822
145	0.8523726377
146	0.8505956369
147	0.8488440834
148	0.8471898582
149	0.8455003087
150	0.8438156396
151	0.8421225274
152	0.8404814976
153	0.8388785368
154	0.8371861446
155	0.8354362228
156	0.8318152448
157	0.8302037783
158	0.8267041095
159	0.8231964288
160	0.8196114864
161	0.816259832
162	0.8128953491
163	0.8095960949
164	0.8065013516
165	0.8035014059
166	0.8005811424
167	0.7975251616
168	0.7945120366
169	0.7916946949
170	0.7888880916
171	0.7860495428
172	0.7832634054
173	0.7805638308
174	0.7778499829
