iter	Passed	Remaining
0	86	2608750
1	154	2313456
2	233	2330195
3	350	2628596
4	456	2739166
5	564	2820827
6	631	2704229
7	711	2667008
8	833	2778594
9	954	2863413
10	1009	2751338
11	1064	2659947
12	1122	2589295
13	1214	2601958
14	1269	2537944
15	1337	2506123
16	1480	2610735
17	1573	2620809
18	1694	2673991
19	1812	2716826
20	1875	2677385
21	1978	2695533
22	2043	2662793
23	2139	2672380
24	2213	2654187
25	2314	2668154
26	2399	2663271
27	2501	2677533
28	2619	2707437
29	2705	2702921
30	2820	2727040
31	2918	2733006
32	3033	2754630
33	3145	2772012
34	3250	2782593
35	3314	2759054
36	3357	2719061
37	3416	2693897
38	3494	2684935
39	3642	2728048
40	3695	2700343
41	3809	2717584
42	3915	2727824
43	3980	2709705
44	4030	2682768
45	4121	2683658
46	4225	2692930
47	4317	2694215
48	4414	2698285
49	4526	2711501
50	4649	2730360
51	4748	2734691
52	4795	2709528
53	4823	2674657
54	4889	2662171
55	4992	2669689
56	5085	2671720
57	5205	2687418
58	5314	2696782
59	5428	2708969
60	5483	2691305
61	5595	2702023
62	5635	2678062
63	5674	2654060
64	5792	2667659
65	5881	2667620
66	5998	2679873
67	6092	2681958
68	6207	2692551
69	6314	2700056
70	6414	2703875
71	6580	2735225
72	6702	2747827
73	6800	2750340
74	6920	2761298
75	7031	2768712
76	7085	2753359
77	7121	2732067
78	7177	2718548
79	7251	2712128
80	7333	2708850
81	7366	2687580
82	7419	2674359
83	7490	2667807
84	7565	2662681
85	7709	2681635
86	7824	2690396
87	7850	2668361
88	7971	2679077
89	8081	2685801
90	8191	2692304
91	8315	2703374
92	8421	2708265
93	8460	2691603
94	8508	2678472
95	8600	2679016
96	8725	2689964
97	8819	2690893
98	8933	2698267
99	9029	2699806
100	9129	2702678
101	9251	2711733
102	9320	2705334
103	9353	2688785
104	9376	2669753
105	9428	2658973
106	9533	2663343
107	9586	2653344
108	9699	2659836
109	9763	2652993
110	9863	2656002
111	9925	2648795
112	9989	2642015
113	10116	2652061
114	10191	2648379
115	10312	2656789
116	10411	2659149
117	10531	2667084
118	10658	2676331
119	10732	2672351
120	10762	2657605
121	10785	2641345
122	10895	2646493
123	11010	2652785
124	11117	2656995
125	11229	2662359
126	11327	2664445
127	11373	2654357
128	11398	2639448
129	11514	2645612
130	11625	2650796
131	11692	2645591
132	11790	2647659
133	11827	2636028
134	11880	2628218
135	11908	2614950
136	11980	2611448
137	12029	2603070
138	12142	2608590
139	12240	2610822
140	12372	2620125
141	12471	2622298
142	12575	2625714
143	12664	2625829
144	12775	2630520
145	12826	2622836
146	12925	2624928
147	13032	2628605
148	13084	2621360
149	13189	2624678
150	13296	2628464
151	13400	2631511
152	13437	2621372
153	13489	2614284
154	13583	2615548
155	13687	2618511
156	13738	2611442
157	13809	2608252
158	13922	2613022
159	13992	2609632
160	14100	2613364
161	14182	2612233
162	14286	2615124
163	14399	2619741
164	14508	2623318
165	14618	2627229
166	14714	2628674
167	14802	2628466
168	14900	2630183
169	14995	2631294
170	15109	2635672
171	15194	2634994
172	15300	2638010
173	15396	2639092
174	15513	2643902
175	15602	2643858
176	15722	2649114
177	15832	2652487
178	15940	2655722
179	16070	2662282
180	16159	2662239
181	16272	2666082
182	16361	2665786
183	16473	2669402
184	16564	2669556
185	16684	2674432
186	16780	2675248
187	16902	2680337
188	17012	2683406
189	17133	2688175
190	17229	2688933
191	17350	2693722
192	17448	2694778
193	17565	2698681
194	17649	2697647
195	17759	2700592
196	17852	2700758
197	17971	2704991
198	18058	2704279
199	18180	2708860
200	18271	2708840
201	18424	2717854
202	18517	2718056
203	18630	2721158
204	18727	2721922
205	18853	2726805
206	18957	2728546
207	19054	2729120
208	19130	2726881
209	19229	2727878
210	19343	2730935
211	19437	2731151
212	19562	2735669
213	19645	2734367
214	19766	2738366
215	19849	2737030
216	19943	2737214
217	20043	2738264
218	20133	2737854
219	20260	2742506
220	20354	2742761
221	20458	2744161
222	20578	2747816
223	20661	2746472
224	20772	2748877
225	20859	2748078
226	20967	2750093
227	21078	2752359
228	21176	2753005
229	21248	2750320
230	21361	2752869
231	21446	2751816
232	21556	2753947
233	21656	2754868
234	21773	2757833
235	21875	2758927
236	21985	2760967
237	22107	2764587
238	22199	2764380
239	22339	2770117
240	22427	2769384
241	22547	2772574
242	22649	2773560
243	22735	2772617
244	22850	2775155
245	22933	2773890
246	23060	2777820
247	23155	2777955
248	23265	2779851
